Country,Subject Descriptor,Units,1990,1995,2000,2005,2010,2015
Angola,"Gross domestic product per capita, current prices",National currency,--,1.137,"6,547.54","162,327.27","334,669.57","522,854.87"
Angola,"Gross domestic product per capita, current prices",U.S. dollars,986.639,419.529,652.11,"1,862.42","3,641.44","4,354.92"
Angola,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,"1,544.61","2,541.54","3,132.30","4,717.74","6,687.07","7,668.51"
Angola,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Angola,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.071,0.098,0.107,0.137,0.171,0.184
Angola,Implied PPP conversion rate,National currency per current international dollar,--,--,2.09,34.408,50.047,68.182
Angola,Total investment,Percent of GDP,5.725,22.826,30.88,27.557,28.197,34.202
Angola,Gross national savings,Percent of GDP,32.396,52.231,38.005,41.158,34.833,28.491
Angola,"Inflation, average consumer prices",Index,--,0.001,2.707,49.968,93.047,148.377
Angola,"Inflation, average consumer prices",Percent change,1.833,"2,672.23",325.029,22.961,14.48,9.159
Angola,"Inflation, end of period consumer prices",Index,--,0.003,4.401,53.596,100,157.587
Angola,"Inflation, end of period consumer prices",Percent change,1.833,"3,783.92",268.35,18.53,15.322,12.091
Angola,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Angola,Volume of imports of goods and services,Percent change,-15.8,27.968,3.965,36.633,-21.724,-19.448
Angola,Volume of Imports of goods,Percent change,12.9,15.717,1.023,37.43,-32.011,-17.764
Angola,Volume of exports of goods and services,Percent change,14.6,12.24,1.624,28.148,-3.266,6.721
Angola,Volume of exports of goods,Percent change,,,1.624,30.262,-3.425,5.75
Angola,Unemployment rate,Percent of total labor force,,,,,,
Angola,Employment,Persons,,,,,,
Angola,Population,Persons,12.742,14.771,17.124,19.851,23.013,26.681
Angola,General government revenue,National currency,,,48.051,"1,085.84","3,295.49","3,366.74"
Angola,General government revenue,Percent of GDP,,,42.858,33.697,42.789,24.134
Angola,General government total expenditure,National currency,,,45.484,854.785,"3,034.03","3,773.71"
Angola,General government total expenditure,Percent of GDP,,,40.568,26.527,39.394,27.051
Angola,General government net lending/borrowing,National currency,,,2.567,231.059,261.463,-406.964
Angola,General government net lending/borrowing,Percent of GDP,,,2.289,7.17,3.395,-2.917
Angola,General government structural balance,National currency,,,69.49,84.159,186.873,70.72
Angola,General government structural balance,Percent of potential GDP,,,,3.214,2.507,0.419
Angola,General government primary net lending/borrowing,National currency,,,7.54,279.643,350.999,-158.494
Angola,General government primary net lending/borrowing,Percent of GDP,,,6.725,8.678,4.557,-1.136
Angola,General government net debt,National currency,,,,,,
Angola,General government net debt,Percent of GDP,,,,,,
Angola,General government gross debt,National currency,,,150.141,"1,078.33","2,862.15","7,964.65"
Angola,General government gross debt,Percent of GDP,,,133.914,33.464,37.163,57.093
Angola,"Gross domestic product corresponding to fiscal year, current prices",National currency,--,0.017,112.118,"3,222.35","7,701.65","13,950.29"
Angola,Current account balance,U.S. dollars,-0.236,-0.295,0.796,5.138,7.506,-10.272
Angola,Current account balance,Percent of GDP,-1.873,-4.761,7.125,13.897,8.957,-8.84
Antigua and Barbuda,"Gross domestic product, constant prices",National currency,1.672,1.856,2.407,2.773,2.772,3.009
Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,3.012,-4.36,6.203,6.475,-7.841,3.824
Antigua and Barbuda,"Gross domestic product, current prices",National currency,1.241,1.559,2.231,2.762,3.101,3.609
Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,0.459,0.577,0.826,1.023,1.149,1.337
Antigua and Barbuda,"Gross domestic product, current prices",Purchasing power parity; international dollars,0.724,0.908,1.279,1.652,1.815,1.77
Antigua and Barbuda,"Gross domestic product, deflator",Index,74.202,83.972,92.68,99.593,111.892,119.936
Antigua and Barbuda,"Gross domestic product per capita, constant prices",National currency,"27,739.64","27,893.89","31,845.59","34,554.35","32,732.23","33,085.79"
Antigua and Barbuda,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,"16,038.72","16,127.90","18,412.73","19,978.90","18,925.37","19,129.79"
Antigua and Barbuda,"Gross domestic product per capita, current prices",National currency,"20,583.27","23,423.14","29,514.54","34,413.68","36,624.63","39,681.61"
Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,"7,623.43","8,675.24","10,931.31","12,745.81","13,564.68","14,696.89"
Antigua and Barbuda,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,"12,016.13","13,638.54","16,915.33","20,583.96","21,428.60","19,456.15"
Antigua and Barbuda,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Antigua and Barbuda,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.003,0.002,0.003,0.002,0.002,0.002
Antigua and Barbuda,Implied PPP conversion rate,National currency per current international dollar,1.713,1.717,1.745,1.672,1.709,2.04
Antigua and Barbuda,Total investment,Percent of GDP,,,,,,4.858
Antigua and Barbuda,Gross national savings,Percent of GDP,,,,,,7.052
Antigua and Barbuda,"Inflation, average consumer prices",Index,53.961,65.522,70.597,78.3,87.525,96.557
Antigua and Barbuda,"Inflation, average consumer prices",Percent change,6.591,2.737,-0.162,2.099,3.37,0.969
Antigua and Barbuda,"Inflation, end of period consumer prices",Index,63.265,66.032,71.592,79.495,88.816,97.233
Antigua and Barbuda,"Inflation, end of period consumer prices",Percent change,7.861,-1.265,0.432,2.543,2.925,0.9
Antigua and Barbuda,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Antigua and Barbuda,Volume of imports of goods and services,Percent change,,,,,,7.208
Antigua and Barbuda,Volume of Imports of goods,Percent change,,,,,,-6.931
Antigua and Barbuda,Volume of exports of goods and services,Percent change,,,,,,-0.129
Antigua and Barbuda,Volume of exports of goods,Percent change,,,,,,-20.584
Antigua and Barbuda,Unemployment rate,Percent of total labor force,,,,,,
Antigua and Barbuda,Employment,Persons,,,,,,
Antigua and Barbuda,Population,Persons,0.06,0.067,0.076,0.08,0.085,0.091
Antigua and Barbuda,General government revenue,National currency,0.236,0.284,0.404,0.533,0.691,0.87
Antigua and Barbuda,General government revenue,Percent of GDP,19.015,18.243,18.087,19.285,22.287,24.104
Antigua and Barbuda,General government total expenditure,National currency,0.234,0.349,0.513,0.665,0.7,0.964
Antigua and Barbuda,General government total expenditure,Percent of GDP,18.887,22.395,22.997,24.087,22.563,26.704
Antigua and Barbuda,General government net lending/borrowing,National currency,0.002,-0.065,-0.11,-0.133,-0.009,-0.094
Antigua and Barbuda,General government net lending/borrowing,Percent of GDP,0.128,-4.152,-4.91,-4.802,-0.277,-2.6
Antigua and Barbuda,General government structural balance,National currency,,,,,,
Antigua and Barbuda,General government structural balance,Percent of potential GDP,,,,,,
Antigua and Barbuda,General government primary net lending/borrowing,National currency,0.047,-0.022,0.001,-0.036,0.056,-0.003
Antigua and Barbuda,General government primary net lending/borrowing,Percent of GDP,3.807,-1.398,0.024,-1.294,1.806,-0.087
Antigua and Barbuda,General government net debt,National currency,,,,,,
Antigua and Barbuda,General government net debt,Percent of GDP,,,,,,
Antigua and Barbuda,General government gross debt,National currency,1.217,1.533,2.346,2.558,2.783,3.576
Antigua and Barbuda,General government gross debt,Percent of GDP,98.07,98.322,105.132,92.614,89.742,99.071
Antigua and Barbuda,"Gross domestic product corresponding to fiscal year, current prices",National currency,1.241,1.559,2.231,2.762,3.101,3.609
Antigua and Barbuda,Current account balance,U.S. dollars,,,,,,0.029
Antigua and Barbuda,Current account balance,Percent of GDP,,,,,,2.194
Argentina,"Gross domestic product, constant prices",National currency,317.415,422.63,479.956,528.056,670.524,721.487
Argentina,"Gross domestic product, constant prices",Percent change,-1.338,-2.845,-0.789,8.852,10.125,2.731
Argentina,"Gross domestic product, current prices",National currency,77.06,288.497,317.759,582.538,"1,661.72","5,954.51"
Argentina,"Gross domestic product, current prices",U.S. dollars,158.024,288.497,317.759,199.273,424.729,642.464
Argentina,"Gross domestic product, current prices",Purchasing power parity; international dollars,230.785,346.845,427.907,527.986,736.799,867.177
Argentina,"Gross domestic product, deflator",Index,24.277,68.262,66.206,110.318,247.824,825.311
Argentina,"Gross domestic product per capita, constant prices",National currency,"9,757.62","12,151.83","13,048.00","13,682.99","16,439.06","16,727.44"
Argentina,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,"13,961.36","17,387.03","18,669.29","19,577.84","23,521.27","23,933.89"
Argentina,"Gross domestic product per capita, current prices",National currency,"2,368.88","8,295.12","8,638.54","15,094.73","40,739.99","138,053.32"
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,"4,857.80","8,295.12","8,638.54","5,163.55","10,412.97","14,895.32"
Argentina,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,"7,094.54","9,972.80","11,633.00","13,681.19","18,063.91","20,105.20"
Argentina,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Argentina,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.838,0.901,0.85,0.774,0.82,0.779
Argentina,Implied PPP conversion rate,National currency per current international dollar,0.334,0.832,0.743,1.103,2.255,6.867
Argentina,Total investment,Percent of GDP,11.354,16.399,15.337,18.888,17.706,17.071
Argentina,Gross national savings,Percent of GDP,15.472,17.662,12.459,21.362,17.323,14.328
Argentina,"Inflation, average consumer prices",Index,,,26.153,42.297,65.069,
Argentina,"Inflation, average consumer prices",Percent change,,,-0.939,9.642,10.461,
Argentina,"Inflation, end of period consumer prices",Index,,,25.966,44.516,67.944,
Argentina,"Inflation, end of period consumer prices",Percent change,,,-0.734,12.327,10.923,
Argentina,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Argentina,Volume of imports of goods and services,Percent change,-0.69,-11.484,-2.407,18.375,39.414,2.644
Argentina,Volume of Imports of goods,Percent change,-24.706,-11.484,-2.423,18.463,39.714,3.176
Argentina,Volume of exports of goods and services,Percent change,16.833,25.559,1.867,11.55,13.701,-1.633
Argentina,Volume of exports of goods,Percent change,4.835,25.559,1.897,11.555,14.073,-1.626
Argentina,Unemployment rate,Percent of total labor force,7.6,18.904,17.134,11.575,7.75,6.533
Argentina,Employment,Persons,,,,,,
Argentina,Population,Persons,32.53,34.779,36.784,38.592,40.788,43.132
Argentina,General government revenue,National currency,,59.972,69.368,161.749,531.163,"2,105.86"
Argentina,General government revenue,Percent of GDP,,20.788,21.83,27.766,31.965,35.366
Argentina,General government total expenditure,National currency,,65.957,80.225,142.288,554.318,"2,463.16"
Argentina,General government total expenditure,Percent of GDP,,22.862,25.247,24.426,33.358,41.366
Argentina,General government net lending/borrowing,National currency,,-5.985,-10.857,19.46,-23.155,-357.304
Argentina,General government net lending/borrowing,Percent of GDP,,-2.075,-3.417,3.341,-1.393,-6.001
Argentina,General government structural balance,National currency,,-3.206,-13.588,25.368,-13.366,-381.26
Argentina,General government structural balance,Percent of potential GDP,,-1.095,-4.554,4.376,-0.804,-6.437
Argentina,General government primary net lending/borrowing,National currency,,-1.178,0.671,30.011,-8.948,-263.06
Argentina,General government primary net lending/borrowing,Percent of GDP,,-0.408,0.211,5.152,-0.538,-4.418
Argentina,General government net debt,National currency,,,,,,
Argentina,General government net debt,Percent of GDP,,,,,,
Argentina,General government gross debt,National currency,,88.711,129.75,467.672,722.089,"3,129.85"
Argentina,General government gross debt,Percent of GDP,,30.749,40.833,80.282,43.454,52.563
Argentina,"Gross domestic product corresponding to fiscal year, current prices",National currency,77.06,288.497,317.759,582.538,"1,661.72","5,954.51"
Argentina,Current account balance,U.S. dollars,4.665,-5.104,-9.144,4.929,-1.623,-17.623
Argentina,Current account balance,Percent of GDP,2.952,-1.769,-2.878,2.473,-0.382,-2.743
Armenia,"Gross domestic product, constant prices",National currency,,983.622,"1,241.24","2,242.88","2,709.92","3,362.75"
Armenia,"Gross domestic product, constant prices",Percent change,,8.033,5.853,14.113,2.2,3.254
